ensembl_gene_id	wikigene_description	hgnc_symbol
ENSG00000003393	alsin Rho guanine nucleotide exchange factor ALS2	ALS2
ENSG00000003400	caspase 10	CASP10
ENSG00000003402	CASP8 and FADD like apoptosis regulator	CFLAR
ENSG00000003436	tissue factor pathway inhibitor	TFPI
ENSG00000003509	NADH:ubiquinone oxidoreductase complex assembly factor 7	NDUFAF7
ENSG00000003756	RNA binding motif protein 5	RBM5
ENSG00000003987	myotubularin related protein 7	MTMR7
ENSG00000003989	solute carrier family 7 member 2	SLC7A2
ENSG00000004059	ADP ribosylation factor 5	ARF5
ENSG00000004139	sterile alpha and TIR motif containing 1	SARM1
ENSG00000004142	DNA polymerase delta interacting protein 2	POLDIP2
ENSG00000004399	plexin D1	PLXND1
ENSG00000004455	adenylate kinase 2	AK2
ENSG00000004468	CD38 molecule	CD38
ENSG00000004478	FKBP prolyl isomerase 4	FKBP4
ENSG00000004487	lysine demethylase 1A	KDM1A
ENSG00000004534	RNA binding motif protein 6	RBM6
ENSG00000004660	calcium/calmodulin dependent protein kinase kinase 1	CAMKK1
ENSG00000004700	RecQ like helicase	RECQL
ENSG00000004766	VPS50 subunit of EARP/GARPII complex	VPS50
ENSG00000004776	heat shock protein family B (small) member 6	HSPB6
ENSG00000004777	Rho GTPase activating protein 33	ARHGAP33
ENSG00000004779	NADH:ubiquinone oxidoreductase subunit AB1	NDUFAB1
ENSG00000004799	pyruvate dehydrogenase kinase 4	PDK4
ENSG00000004809	solute carrier family 22 member 16	SLC22A16
ENSG00000004838	zinc finger MYND-type containing 10	ZMYND10
ENSG00000004846	ATP binding cassette subfamily B member 5	ABCB5
ENSG00000004848	aristaless related homeobox	ARX
ENSG00000004864	solute carrier family 25 member 13	SLC25A13
ENSG00000004866	suppression of tumorigenicity 7	ST7
ENSG00000004897	cell division cycle 27	CDC27
ENSG00000004939	solute carrier family 4 member 1 (Diego blood group)	SLC4A1
ENSG00000004948	calcitonin receptor	CALCR
ENSG00000004961	holocytochrome c synthase	HCCS
ENSG00000004975	dishevelled segment polarity protein 2	DVL2
ENSG00000005001	serine protease 22	PRSS22
ENSG00000005007	UPF1 RNA helicase and ATPase	UPF1
ENSG00000005020	src kinase associated phosphoprotein 2	SKAP2
ENSG00000005022	solute carrier family 25 member 5	SLC25A5
ENSG00000005059	mitochondrial calcium uniporter dominant negative beta subunit	MCUB
ENSG00000005073	homeobox A11	HOXA11
ENSG00000005075	RNA polymerase II subunit J	POLR2J
ENSG00000005100	DEAH-box helicase 33	DHX33
ENSG00000005102	mesenchyme homeobox 1	MEOX1
ENSG00000005108	thrombospondin type 1 domain containing 7A	THSD7A
ENSG00000005156	DNA ligase 3	LIG3
ENSG00000005175	RNA polymerase II associated protein 3	RPAP3
ENSG00000005187	acyl-CoA synthetase medium chain family member 3	ACSM3
ENSG00000005189	RNA exonuclease 5	REXO5
ENSG00000005194	cytokine induced apoptosis inhibitor 1	CIAPIN1
ENSG00000005206	signal peptide peptidase like 2B	SPPL2B
ENSG00000005238	family with sequence similarity 214 member B	FAM214B
ENSG00000005243	coatomer protein complex subunit zeta 2	COPZ2
ENSG00000005249	protein kinase cAMP-dependent type II regulatory subunit beta	PRKAR2B
ENSG00000005302	MSL complex subunit 3	MSL3
ENSG00000005339	CREB binding protein	CREBBP
ENSG00000005379	TSPO associated protein 1	TSPOAP1
ENSG00000005381	myeloperoxidase	MPO
ENSG00000005421	paraoxonase 1	PON1
ENSG00000005436	GC-rich sequence DNA-binding factor 2	GCFC2
ENSG00000005448	WD repeat domain 54	WDR54
ENSG00000005469	carnitine O-octanoyltransferase	CROT
ENSG00000005471	ATP binding cassette subfamily B member 4	ABCB4
ENSG00000005483	lysine methyltransferase 2E	KMT2E
ENSG00000005486	rhomboid domain containing 2	RHBDD2
ENSG00000005513	SRY-box transcription factor 8	SOX8
ENSG00000005700	inhibitor of Bruton tyrosine kinase	IBTK
ENSG00000005801	zinc finger protein 195	ZNF195
ENSG00000005810	MYC binding protein 2	MYCBP2
ENSG00000005812	F-box and leucine rich repeat protein 3	FBXL3
ENSG00000005844	integrin subunit alpha L	ITGAL
ENSG00000005882	pyruvate dehydrogenase kinase 2	PDK2
ENSG00000005884	integrin subunit alpha 3	ITGA3
ENSG00000005889	zinc finger protein X-linked	ZFX
ENSG00000005893	lysosomal associated membrane protein 2	LAMP2
ENSG00000005961	integrin subunit alpha 2b	ITGA2B
ENSG00000005981	ankyrin repeat and SOCS box containing 4	ASB4
ENSG00000006007	glycerophosphodiester phosphodiesterase 1	GDE1
ENSG00000006015	required for excision 1-B domain containing	REX1BD
ENSG00000006016	cytokine receptor like factor 1	CRLF1
ENSG00000006025	oxysterol binding protein like 7	OSBPL7
ENSG00000006042	transmembrane protein 98	TMEM98
ENSG00000006047	Y-box binding protein 2	YBX2
ENSG00000006059	keratin 33A	KRT33A
ENSG00000006062	mitogen-activated protein kinase kinase kinase 14	MAP3K14
ENSG00000006071	ATP binding cassette subfamily C member 8	ABCC8
ENSG00000006116	calcium voltage-gated channel auxiliary subunit gamma 3	CACNG3
ENSG00000006118	transmembrane protein 132A	TMEM132A
ENSG00000006125	adaptor related protein complex 2 subunit beta 1	AP2B1
ENSG00000006128	tachykinin precursor 1	TAC1
ENSG00000006194	zinc finger protein 263	ZNF263
ENSG00000006210	C-X3-C motif chemokine ligand 1	CX3CL1
ENSG00000006282	spermatogenesis associated 20	SPATA20
ENSG00000006283	calcium voltage-gated channel subunit alpha1 G	CACNA1G
ENSG00000006327	TNF receptor superfamily member 12A	TNFRSF12A
ENSG00000006377	distal-less homeobox 6	DLX6
ENSG00000006432	mitogen-activated protein kinase kinase kinase 9	MAP3K9
ENSG00000006451	RAS like proto-oncogene A	RALA
ENSG00000006453	BAI1 associated protein 2 like 1	BAIAP2L1
ENSG00000006459	lysine demethylase 7A	KDM7A
ENSG00000006468	ETS variant 1	ETV1
ENSG00000006530	acylglycerol kinase	AGK
ENSG00000006534	aldehyde dehydrogenase 3 family member B1	ALDH3B1
ENSG00000006555	tetratricopeptide repeat domain 22	TTC22
ENSG00000006576	putative homeodomain transcription factor 2	PHTF2
ENSG00000006606	C-C motif chemokine ligand 26	CCL26
ENSG00000006607	FERM, ARH/RhoGEF and pleckstrin domain protein 2	FARP2
ENSG00000006611	USH1 protein network component harmonin	USH1C
ENSG00000006625	gamma-glutamylcyclotransferase	GGCT
ENSG00000006634	DBF4 zinc finger	DBF4
ENSG00000006638	thromboxane A2 receptor	TBXA2R
ENSG00000006652	interferon related developmental regulator 1	IFRD1
ENSG00000006659	galectin 14	LGALS14
ENSG00000006695	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	COX10
ENSG00000006704	GTF2I repeat domain containing 1	GTF2IRD1
ENSG00000006712	PAF1 homolog, Paf1/RNA polymerase II complex component	PAF1
ENSG00000006715	VPS41 subunit of HOPS complex	VPS41
ENSG00000006740	Rho GTPase activating protein 44	ARHGAP44
ENSG00000006744	elaC ribonuclease Z 2	ELAC2
ENSG00000006747	scinderin	SCIN
ENSG00000006756	arylsulfatase D	ARSD
ENSG00000006757	patatin like phospholipase domain containing 4	PNPLA4
ENSG00000006788	myosin heavy chain 13	MYH13
ENSG00000006831	adiponectin receptor 2	ADIPOR2
ENSG00000006837	cyclin dependent kinase like 3	CDKL3
ENSG00000007001	uridine phosphorylase 2	UPP2
ENSG00000007038	serine protease 21	PRSS21
ENSG00000007047	microtubule affinity regulating kinase 4	MARK4
ENSG00000007062	prominin 1	PROM1
ENSG00000007080	coiled-coil domain containing 124	CCDC124
ENSG00000007129	carcinoembryonic antigen related cell adhesion molecule 21	CEACAM21
ENSG00000007168	platelet activating factor acetylhydrolase 1b regulatory subunit 1	PAFAH1B1
ENSG00000007171	nitric oxide synthase 2	NOS2
ENSG00000007174	dynein axonemal heavy chain 9	DNAH9
ENSG00000007202	KIAA0100	KIAA0100
ENSG00000007216	solute carrier family 13 member 2	SLC13A2
ENSG00000007237	growth arrest specific 7	GAS7
ENSG00000007255	trafficking protein particle complex 6A	TRAPPC6A
ENSG00000007264	megakaryocyte-associated tyrosine kinase	MATK
ENSG00000007306	carcinoembryonic antigen related cell adhesion molecule 7	CEACAM7
ENSG00000007312	CD79b molecule	CD79B
ENSG00000007314	sodium voltage-gated channel alpha subunit 4	SCN4A
ENSG00000007341	suppression of tumorigenicity 7 like	ST7L
ENSG00000007350	transketolase like 1	TKTL1
ENSG00000007372	paired box 6	PAX6
ENSG00000007376	RNA pseudouridine synthase domain containing 1	RPUSD1
ENSG00000007384	rhomboid 5 homolog 1	RHBDF1
ENSG00000007392	LUC7 like	LUC7L
ENSG00000007402	calcium voltage-gated channel auxiliary subunit alpha2delta 2	CACNA2D2
ENSG00000007516	BAI1 associated protein 3	BAIAP3
ENSG00000007520	TSR3 ribosome maturation factor	TSR3
ENSG00000007541	phosphatidylinositol glycan anchor biosynthesis class Q	PIGQ
ENSG00000007545	cramped chromatin regulator homolog 1	CRAMP1
ENSG00000007866	TEA domain transcription factor 3	TEAD3
ENSG00000007908	selectin E	SELE
ENSG00000007923	DnaJ heat shock protein family (Hsp40) member C11	DNAJC11
ENSG00000007933	flavin containing dimethylaniline monoxygenase 3	FMO3
ENSG00000007944	myosin regulatory light chain interacting protein	MYLIP
ENSG00000007952	NADPH oxidase 1	NOX1
ENSG00000007968	E2F transcription factor 2	E2F2
ENSG00000008018	proteasome subunit beta 1	PSMB1
ENSG00000008056	synapsin I	SYN1
ENSG00000008083	jumonji and AT-rich interaction domain containing 2	JARID2
ENSG00000008086	cyclin dependent kinase like 5	CDKL5
ENSG00000008118	calcium/calmodulin dependent protein kinase IG	CAMK1G
ENSG00000008128	cyclin dependent kinase 11A	CDK11A
ENSG00000008130	NAD kinase	NADK
ENSG00000008196	transcription factor AP-2 beta	TFAP2B
ENSG00000008197	transcription factor AP-2 delta	TFAP2D
ENSG00000008226	DLEC1 cilia and flagella associated protein	DLEC1
ENSG00000008256	cytohesin 3	CYTH3
ENSG00000008277	ADAM metallopeptidase domain 22	ADAM22
ENSG00000008282	synaptophysin like 1	SYPL1
ENSG00000008283	cytochrome b561	CYB561
ENSG00000008294	sperm associated antigen 9	SPAG9
ENSG00000008300	cadherin EGF LAG seven-pass G-type receptor 3	CELSR3
ENSG00000008311	aminoadipate-semialdehyde synthase	AASS
ENSG00000008323	pleckstrin homology and RhoGEF domain containing G6	PLEKHG6
ENSG00000008324	SS18 like 2	SS18L2
ENSG00000008382	MPN domain containing	MPND
ENSG00000008394	microsomal glutathione S-transferase 1	MGST1
ENSG00000008405	cryptochrome circadian regulator 1	CRY1
ENSG00000008438	peptidoglycan recognition protein 1	PGLYRP1
ENSG00000008441	nuclear factor I X	NFIX
ENSG00000008513	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	ST3GAL1
ENSG00000008516	matrix metallopeptidase 25	MMP25
ENSG00000008517	interleukin 32	IL32
ENSG00000008710	polycystin 1, transient receptor potential channel interacting	PKD1
ENSG00000008735	mitogen-activated protein kinase 8 interacting protein 2	MAPK8IP2
ENSG00000008838	mediator complex subunit 24	MED24
ENSG00000008853	Rho related BTB domain containing 2	RHOBTB2
ENSG00000008869	HEAT repeat containing 5B	HEATR5B
ENSG00000008952	SEC62 homolog, preprotein translocation factor	SEC62
ENSG00000008988	ribosomal protein S20	RPS20
ENSG00000009307	cold shock domain containing E1	CSDE1
ENSG00000009335	ubiquitin protein ligase E3C	UBE3C
ENSG00000009413	REV3 like, DNA directed polymerase zeta catalytic subunit	REV3L
ENSG00000009694	teneurin transmembrane protein 1	TENM1
ENSG00000009709	paired box 7	PAX7
ENSG00000009724	mannan binding lectin serine peptidase 2	MASP2
ENSG00000009765	iodotyrosine deiodinase	IYD
ENSG00000009780	family with sequence similarity 76 member A	FAM76A
ENSG00000009790	TRAF3 interacting protein 3	TRAF3IP3
ENSG00000009830	protein O-mannosyltransferase 2	POMT2
ENSG00000009844	vesicle trafficking 1	VTA1
ENSG00000009950	MLX interacting protein like	MLXIPL
ENSG00000009954	bromodomain adjacent to zinc finger domain 1B	BAZ1B
ENSG00000010017	RAN binding protein 9	RANBP9
ENSG00000010030	ETS variant 7	ETV7
ENSG00000010072	SprT-like N-terminal domain	SPRTN
ENSG00000010165	eEF1A lysine and N-terminal methyltransferase	EEF1AKNMT
ENSG00000010219	dual specificity tyrosine phosphorylation regulated kinase 4	DYRK4
ENSG00000010244	zinc finger protein 207	ZNF207
ENSG00000010256	ubiquinol-cytochrome c reductase core protein 1	UQCRC1
ENSG00000010270	STARD3 N-terminal like	STARD3NL
ENSG00000010278	CD9 molecule	CD9
ENSG00000010282	hedgehog acyltransferase like	HHATL
ENSG00000010292	non-SMC condensin I complex subunit D2	NCAPD2
ENSG00000010295	intermediate filament family orphan 1	IFFO1
ENSG00000010310	gastric inhibitory polypeptide receptor	GIPR
ENSG00000010318	PHD finger protein 7	PHF7
ENSG00000010319	semaphorin 3G	SEMA3G
ENSG00000010322	nischarin	NISCH
ENSG00000010327	stabilin 1	STAB1
ENSG00000010361	fuzzy planar cell polarity protein	FUZ
ENSG00000010379	solute carrier family 6 member 13	SLC6A13
ENSG00000010404	iduronate 2-sulfatase	IDS
ENSG00000010438	serine protease 3	PRSS3
ENSG00000010539	zinc finger protein 200	ZNF200
ENSG00000010610	CD4 molecule	CD4
ENSG00000010626	leucine rich repeat containing 23	LRRC23
ENSG00000010671	Bruton tyrosine kinase	BTK
ENSG00000010704	homeostatic iron regulator	HFE
ENSG00000010803	Scm polycomb group protein homolog 1	SCMH1
ENSG00000010810	FYN proto-oncogene, Src family tyrosine kinase	FYN
ENSG00000010818	human immunodeficiency virus type I enhancer binding protein 2	HIVEP2
ENSG00000010932	flavin containing dimethylaniline monoxygenase 1	FMO1
ENSG00000011007	elongin A	ELOA
ENSG00000011009	lysophospholipase 2	LYPLA2
ENSG00000011021	chloride voltage-gated channel 6	CLCN6
ENSG00000011028	mannose receptor C type 2	MRC2
ENSG00000011052	NME1-NME2 readthrough	NME1-NME2
ENSG00000011083	solute carrier family 6 member 7	SLC6A7
ENSG00000011105	tetraspanin 9	TSPAN9
ENSG00000011114	BTB domain containing 7	BTBD7
ENSG00000011132	amyloid beta precursor protein binding family A member 3	APBA3
ENSG00000011143	MKS transition zone complex subunit 1	MKS1
ENSG00000011198	abhydrolase domain containing 5	ABHD5
ENSG00000011201	anosmin 1	ANOS1
ENSG00000011243	A-kinase anchoring protein 8 like	AKAP8L
ENSG00000011258	mbt domain containing 1	MBTD1
ENSG00000011260	UTP18 small subunit processome component	UTP18
ENSG00000011275	ring finger protein 216	RNF216
ENSG00000011295	tetratricopeptide repeat domain 19	TTC19
ENSG00000011304	polypyrimidine tract binding protein 1	PTBP1
ENSG00000011332	double PHD fingers 1	DPF1
ENSG00000011347	synaptotagmin 7	SYT7
ENSG00000011376	leucyl-tRNA synthetase 2, mitochondrial	LARS2
ENSG00000011405	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	PIK3C2A
ENSG00000011422	plasminogen activator, urokinase receptor	PLAUR
ENSG00000011426	anillin actin binding protein	ANLN
ENSG00000011451	WIZ zinc finger	WIZ
ENSG00000011454	G protein-coupled receptor 21	RABGAP1
ENSG00000011454	RAB GTPase activating protein 1	RABGAP1
ENSG00000011465	decorin	DCN
ENSG00000011478	glutaminyl-peptide cyclotransferase like	QPCTL
ENSG00000011485	protein phosphatase 5 catalytic subunit	PPP5C
ENSG00000011523	centrosomal protein 68	CEP68
ENSG00000011566	mitogen-activated protein kinase kinase kinase kinase 3	MAP4K3
ENSG00000011590	zinc finger and BTB domain containing 32	ZBTB32
ENSG00000011600	TYRO protein tyrosine kinase binding protein	TYROBP
ENSG00000011638	transmembrane protein 159	TMEM159
ENSG00000011677	gamma-aminobutyric acid type A receptor alpha3 subunit	GABRA3
ENSG00000012048	BRCA1 DNA repair associated	BRCA1
ENSG00000012061	ERCC excision repair 1, endonuclease non-catalytic subunit	ERCC1
ENSG00000012124	CD22 molecule	CD22
ENSG00000012171	semaphorin 3B	SEMA3B
ENSG00000012174	membrane bound transcription factor peptidase, site 2	MBTPS2
ENSG00000012211	prickle planar cell polarity protein 3	PRICKLE3
ENSG00000012223	lactotransferrin	LTF
ENSG00000012232	exostosin like glycosyltransferase 3	EXTL3
ENSG00000012504	nuclear receptor subfamily 1 group H member 4	NR1H4
ENSG00000012660	ELOVL fatty acid elongase 5	ELOVL5
ENSG00000012779	arachidonate 5-lipoxygenase	ALOX5
ENSG00000012817	lysine demethylase 5D	KDM5D
ENSG00000012822	calcium binding and coiled-coil domain 1	CALCOCO1
ENSG00000012963	ubiquitin protein ligase E3 component n-recognin 7 (putative)	UBR7
ENSG00000012983	mitogen-activated protein kinase kinase kinase kinase 5	MAP4K5
ENSG00000013016	EH domain containing 3	EHD3
ENSG00000013275	proteasome 26S subunit, ATPase 4	PSMC4
ENSG00000013288	mannosidase alpha class 2B member 2	MAN2B2
ENSG00000013293	solute carrier family 7 member 14	SLC7A14
ENSG00000013297	claudin 11	CLDN11
ENSG00000013306	solute carrier family 25 member 39	SLC25A39
ENSG00000013364	major vault protein	MVP
ENSG00000013374	negative regulator of ubiquitin like proteins 1	NUB1
ENSG00000013375	phosphoglucomutase 3	PGM3
ENSG00000013392	RWD domain containing 2A	RWDD2A
ENSG00000013441	CDC like kinase 1	CLK1
ENSG00000013503	RNA polymerase III subunit B	POLR3B
ENSG00000013523	angel homolog 1	ANGEL1
ENSG00000013561	ring finger protein 14	RNF14
ENSG00000013563	deoxyribonuclease 1 like 1	DNASE1L1
ENSG00000013573	DEAD/H-box helicase 11	DDX11
ENSG00000013583	heme binding protein 1	HEBP1
ENSG00000013588	G protein-coupled receptor class C group 5 member A	GPRC5A
ENSG00000013619	mastermind like domain containing 1	MAMLD1
ENSG00000013725	CD6 molecule	CD6
ENSG00000013810	transforming acidic coiled-coil containing protein 3	TACC3
ENSG00000014123	UFM1 specific ligase 1	UFL1
ENSG00000014138	DNA polymerase alpha 2, accessory subunit	POLA2
ENSG00000014164	zinc finger CCCH-type containing 3	ZC3H3
ENSG00000014216	calpain 1	CAPN1
ENSG00000014257	acid phosphatase, prostate	ACPP
ENSG00000014641	malate dehydrogenase 1	MDH1
ENSG00000014824	solute carrier family 30 member 9	SLC30A9
ENSG00000014914	myotubularin related protein 11	MTMR11
ENSG00000014919	cytochrome c oxidase assembly homolog COX15	COX15
ENSG00000015133	coiled-coil domain containing 88C	CCDC88C
ENSG00000015153	YY1 associated factor 2	YAF2
ENSG00000015171	zinc finger MYND-type containing 11	ZMYND11
ENSG00000015285	WASP actin nucleation promoting factor	WAS
ENSG00000015413	dipeptidase 1	DPEP1
ENSG00000015475	BH3 interacting domain death agonist	BID
ENSG00000015479	matrin 3	MATR3
ENSG00000015520	NPC1 like intracellular cholesterol transporter 1	NPC1L1
ENSG00000015532	xylosyltransferase 2	XYLT2
ENSG00000015568	RANBP2 like and GRIP domain containing 5	RGPD5
ENSG00000015592	stathmin 4	STMN4
ENSG00000015676	NudC domain containing 3	NUDCD3
ENSG00000016082	ISL LIM homeobox 1	ISL1
ENSG00000016391	choline dehydrogenase	CHDH
ENSG00000016402	interleukin 20 receptor subunit alpha	IL20RA
ENSG00000016490	chloride channel accessory 1	CLCA1
ENSG00000016602	chloride channel accessory 4	CLCA4
ENSG00000016864	glycosyltransferase 8 domain containing 1	GLT8D1
ENSG00000017260	ATPase secretory pathway Ca2+ transporting 1	ATP2C1
ENSG00000017427	insulin like growth factor 1	IGF1
ENSG00000017483	solute carrier family 38 member 5	SLC38A5
ENSG00000017797	ralA binding protein 1	RALBP1
ENSG00000018189	RUN and FYVE domain containing 3	RUFY3
ENSG00000018236	contactin 1	CNTN1
ENSG00000018280	solute carrier family 11 member 1	SLC11A1
ENSG00000018408	WW domain containing transcription regulator 1	WWTR1
ENSG00000018510	alkylglycerone phosphate synthase	AGPS
ENSG00000018607		ZNF806
ENSG00000018610	chromosome X open reading frame 56	CXorf56
ENSG00000018625	ATPase Na+/K+ transporting subunit alpha 2	ATP1A2
ENSG00000018699	tetratricopeptide repeat domain 27	TTC27
ENSG00000018869	zinc finger protein 582	ZNF582
ENSG00000019102	V-set and immunoglobulin domain containing 2	VSIG2
ENSG00000019144	pleckstrin homology like domain family B member 1	PHLDB1
ENSG00000019169	macrophage receptor with collagenous structure	MARCO
ENSG00000019186	cytochrome P450 family 24 subfamily A member 1	CYP24A1
ENSG00000019485	PR/SET domain 11	PRDM11
ENSG00000019505	synaptotagmin 13	SYT13
ENSG00000019549	snail family transcriptional repressor 2	SNAI2
ENSG00000019582	CD74 molecule	CD74
ENSG00000019991	hepatocyte growth factor	HGF
ENSG00000019995	zinc finger RANBP2-type containing 1	ZRANB1
ENSG00000020129	neurochondrin	NCDN
ENSG00000020181	adhesion G protein-coupled receptor A2	ADGRA2
ENSG00000020219		CCT8L1P
ENSG00000020256	ZFP64 zinc finger protein	ZFP64
ENSG00000020426	MNAT1 component of CDK activating kinase	MNAT1
ENSG00000020577	sterile alpha motif domain containing 4A	SAMD4A
ENSG00000020633	RUNX family transcription factor 3	RUNX3
ENSG00000020922	MRE11 homolog, double strand break repair nuclease	MRE11
ENSG00000021300	pleckstrin homology domain containing B1	PLEKHB1
ENSG00000021355	serpin family B member 1	SERPINB1
ENSG00000021461	cytochrome P450 family 3 subfamily A member 43	CYP3A43
ENSG00000021488	solute carrier family 7 member 9	SLC7A9
ENSG00000021574	spastin	SPAST
ENSG00000021645	neurexin 3	NRXN3
ENSG00000021762	oxysterol binding protein like 5	OSBPL5
ENSG00000021776	aquarius intron-binding spliceosomal factor	AQR
ENSG00000021826	carbamoyl-phosphate synthase 1	CPS1
ENSG00000021852	complement C8 beta chain	C8B
ENSG00000022267	four and a half LIM domains 1	FHL1
ENSG00000022277	replication termination factor 2	RTF2
ENSG00000022355	gamma-aminobutyric acid type A receptor alpha1 subunit	GABRA1
ENSG00000022556	NLR family pyrin domain containing 2	NLRP2
ENSG00000022567	solute carrier family 45 member 4	SLC45A4
ENSG00000022840	ring finger protein 10	RNF10
ENSG00000022976	zinc finger protein 839	ZNF839
ENSG00000023041	zinc finger DHHC-type containing 6	ZDHHC6
ENSG00000023171	GRAM domain containing 1B	GRAMD1B
ENSG00000023191	ribonuclease/angiogenin inhibitor 1	RNH1
ENSG00000023228	NADH:ubiquinone oxidoreductase core subunit S1	NDUFS1
ENSG00000023287	RB1 inducible coiled-coil 1	RB1CC1
ENSG00000023318	endoplasmic reticulum protein 44	ERP44
ENSG00000023330	5'-aminolevulinate synthase 1	ALAS1
ENSG00000023445	baculoviral IAP repeat containing 3	BIRC3
ENSG00000023516	A-kinase anchoring protein 11	AKAP11
ENSG00000023572	glutaredoxin 2	GLRX2
ENSG00000023608	small nuclear RNA activating complex polypeptide 1	SNAPC1
ENSG00000023697	deoxyribose-phosphate aldolase	DERA
ENSG00000023734	serine/threonine kinase receptor associated protein	STRAP
ENSG00000023839	ATP binding cassette subfamily C member 2	ABCC2
ENSG00000023892	DEF6 guanine nucleotide exchange factor	DEF6
ENSG00000023902	pleckstrin homology domain containing O1	PLEKHO1
ENSG00000023909	glutamate-cysteine ligase modifier subunit	GCLM
ENSG00000024048	ubiquitin protein ligase E3 component n-recognin 2	UBR2
ENSG00000024422	EH domain containing 2	EHD2
ENSG00000024526	DEP domain containing 1	DEPDC1
ENSG00000024862	coiled-coil domain containing 28A	CCDC28A
ENSG00000025039	Ras related GTP binding D	RRAGD
ENSG00000025156	heat shock transcription factor 2	HSF2
ENSG00000025293	PHD finger protein 20	PHF20
ENSG00000025423	hydroxysteroid 17-beta dehydrogenase 6	HSD17B6
ENSG00000025434	nuclear receptor subfamily 1 group H member 3	NR1H3
ENSG00000025708	thymidine phosphorylase	TYMP
ENSG00000025770	non-SMC condensin II complex subunit H2	NCAPH2
ENSG00000025772	translocase of outer mitochondrial membrane 34	TOMM34
ENSG00000025796	SEC63 homolog, protein translocation regulator	SEC63
ENSG00000025800	karyopherin subunit alpha 6	KPNA6
ENSG00000026025	vimentin	VIM
ENSG00000026036		RTEL1-TNFRSF6B
ENSG00000026103	Fas cell surface death receptor	FAS
ENSG00000026297	ribonuclease T2	RNASET2
ENSG00000026508	CD44 molecule (Indian blood group)	CD44
ENSG00000026559	potassium voltage-gated channel modifier subfamily G member 1	KCNG1
ENSG00000026652	1-acylglycerol-3-phosphate O-acyltransferase 4	AGPAT4
ENSG00000026751	SLAM family member 7	SLAMF7
ENSG00000026950	butyrophilin subfamily 3 member A1	BTN3A1
ENSG00000027001	mitochondrial intermediate peptidase	MIPEP
ENSG00000027075	protein kinase C eta	PRKCH
ENSG00000027644	insulin receptor related receptor	INSRR
ENSG00000027697	interferon gamma receptor 1	IFNGR1
ENSG00000027847	beta-1,4-galactosyltransferase 7	B4GALT7
ENSG00000027869	SH2 domain containing 2A	SH2D2A
ENSG00000028116	VRK serine/threonine kinase 2	VRK2
ENSG00000028137	TNF receptor superfamily member 1B	TNFRSF1B
ENSG00000028203	vezatin, adherens junctions transmembrane protein	VEZT
ENSG00000028277	POU class 2 homeobox 2	POU2F2
ENSG00000028310	bromodomain containing 9	BRD9
ENSG00000028528	sorting nexin 1	SNX1
ENSG00000028839	TATA-box binding protein like 1	TBPL1
ENSG00000029153	aryl hydrocarbon receptor nuclear translocator like 2	ARNTL2
ENSG00000029363	BCL2 associated transcription factor 1	BCLAF1
ENSG00000029364	solute carrier family 39 member 9	SLC39A9
